Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
HTTP请求 -  /stressTest/string1K,1188289,9,10,11,13,17,7,66,0.000%,1980.43216,318.95,0.00
TOTAL,1188289,9,10,11,13,17,7,66,0.000%,1980.43216,318.95,0.00
