Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
HTTP请求 -  /stressTest/string1K,1188289,9,7,66,2.01,0.000%,1980.43216,318.95,0.00,164.9
总体,1188289,9,7,66,2.01,0.000%,1980.43216,318.95,0.00,164.9
